"","make","year","transtype","youSaveSpend"
"518","Lotus",2010,"Manual",-6250
"519","Lotus",2011,"Automatic",-1750
"520","Lotus",2011,"Manual",-12000
"521","Lotus",2012,"Automatic",-3750
"522","Lotus",2012,"Manual",-5750
"523","Lotus",2013,"Automatic",-3750
"524","Lotus",2013,"Manual",-5750
"525","Lotus",2014,"Automatic",-4000
"526","Lotus",2014,"Manual",-5750
"527","Maserati",2004,"Automatic",-22000
"528","Maserati",2004,"Manual",-22000
"529","Maserati",2005,"Automatic",-33000
"530","Maserati",2005,"Manual",-22000
"531","Maserati",2006,"Automatic",-19000
"532","Maserati",2006,"Manual",-8250
"533","Maserati",2007,"Automatic",-17750
"534","Maserati",2008,"Automatic",-15250
"535","Maserati",2009,"Automatic",-15250
"536","Maserati",2010,"Automatic",-37500
"537","Maserati",2011,"Automatic",-36250
"538","Maserati",2012,"Automatic",-21000
"539","Maserati",2013,"Automatic",-21250
"540","Maserati",2014,"Automatic",-31750
"541","Maserati",2015,"Automatic",-31750
"542","Maybach",2004,"Automatic",-19000
"543","Maybach",2005,"Automatic",-19000
"544","Maybach",2006,"Automatic",-30000
"545","Maybach",2007,"Automatic",-44000
"546","Maybach",2008,"Automatic",-44000
"547","Maybach",2009,"Automatic",-44000
"548","Maybach",2010,"Automatic",-33000
"549","Maybach",2011,"Automatic",-44000
"550","Maybach",2012,"Automatic",-55000
"551","Mazda",2004,"Automatic",-32500
"552","Mazda",2004,"Manual",-28000
"553","Mazda",2005,"Automatic",-35000
"554","Mazda",2005,"Manual",-27250
"555","Mazda",2006,"Automatic",-32750
"556","Mazda",2006,"Manual",-26250
"557","Mazda",2007,"Automatic",-38500
"558","Mazda",2007,"Manual",-24000
"559","Mazda",2008,"Automatic",-38250
"560","Mazda",2008,"Manual",-18500
"561","Mazda",2009,"Automatic",-29750
"562","Mazda",2009,"Manual",-14250
"563","Mazda",2010,"Automatic",-20250
"564","Mazda",2010,"Manual",-8750
"565","Mazda",2011,"Automatic",-16250
"566","Mazda",2011,"Manual",-6000
"567","Mazda",2012,"Automatic",-7750
"568","Mazda",2012,"Manual",1750
"569","Mazda",2013,"Automatic",2000
"570","Mazda",2013,"Manual",3250
"571","Mazda",2014,"Automatic",15250
"572","Mazda",2014,"Manual",7500
"573","Mazda",2015,"Automatic",13750
"574","Mazda",2015,"Manual",8500
"575","Mercedes-Benz",2004,"Automatic",-244500
"576","Mercedes-Benz",2004,"Manual",-25500
"577","Mercedes-Benz",2005,"Automatic",-257250
"578","Mercedes-Benz",2005,"Manual",-15500
"579","Mercedes-Benz",2006,"Automatic",-275000
"580","Mercedes-Benz",2006,"Manual",-12000
"581","Mercedes-Benz",2007,"Automatic",-273500
"582","Mercedes-Benz",2007,"Manual",-14000
"583","Mercedes-Benz",2008,"Automatic",-305250
"584","Mercedes-Benz",2008,"Manual",-9500
"585","Mercedes-Benz",2009,"Automatic",-275000
"586","Mercedes-Benz",2009,"Manual",-5750
"587","Mercedes-Benz",2010,"Automatic",-236750
"588","Mercedes-Benz",2010,"Manual",-8250
"589","Mercedes-Benz",2011,"Automatic",-260250
"590","Mercedes-Benz",2011,"Manual",-9000
"591","Mercedes-Benz",2012,"Automatic",-234250
"592","Mercedes-Benz",2012,"Manual",-500
"593","Mercedes-Benz",2013,"Automatic",-273500
"594","Mercedes-Benz",2013,"Manual",-500
"595","Mercedes-Benz",2014,"Automatic",-269750
"596","Mercedes-Benz",2014,"Manual",-500
"597","Mercedes-Benz",2015,"Automatic",-210000
"598","Mercedes-Benz",2015,"Manual",-500
"599","Mercury",2004,"Automatic",-52750
"600","Mercury",2005,"Automatic",-70000
"601","Mercury",2006,"Automatic",-42000
"602","Mercury",2006,"Manual",-500
"603","Mercury",2007,"Automatic",-43000
"604","Mercury",2007,"Manual",-500
"605","Mercury",2008,"Automatic",-31250
"606","Mercury",2008,"Manual",-500
"607","Mercury",2009,"Automatic",-28000
"608","Mercury",2009,"Manual",-500
"609","Mercury",2010,"Automatic",-17750
"610","Mercury",2010,"Manual",250
"611","Mercury",2011,"Automatic",-1500
"612","Mercury",2011,"Manual",250
"613","MINI",2004,"Automatic",-750
"614","MINI",2004,"Manual",-500
"615","MINI",2005,"Automatic",-3750
"616","MINI",2005,"Manual",-2500
"617","MINI",2006,"Automatic",-3750
"618","MINI",2006,"Manual",-4500
"619","MINI",2007,"Automatic",-2500
"620","MINI",2007,"Manual",-500
"621","MINI",2008,"Automatic",3500
"622","MINI",2008,"Manual",1750
"623","MINI",2009,"Automatic",250
"624","MINI",2009,"Manual",6750
"625","MINI",2010,"Automatic",0
"626","MINI",2010,"Manual",5500
"627","MINI",2011,"Automatic",3500
"628","MINI",2011,"Manual",8000
"629","MINI",2012,"Automatic",6250
"630","MINI",2012,"Manual",11250
"631","MINI",2013,"Automatic",8000
"632","MINI",2013,"Manual",12500
"633","MINI",2014,"Automatic",10000
"634","MINI",2014,"Manual",15000
"635","MINI",2015,"Automatic",4750
"636","MINI",2015,"Manual",9250
"637","Mitsubishi",2004,"Automatic",-61000
"638","Mitsubishi",2004,"Manual",-14250
"639","Mitsubishi",2005,"Automatic",-45000
"640","Mitsubishi",2005,"Manual",-20500
"641","Mitsubishi",2006,"Automatic",-48500
"642","Mitsubishi",2006,"Manual",-33500
"643","Mitsubishi",2007,"Automatic",-45500
"644","Mitsubishi",2007,"Manual",-28000
"645","Mitsubishi",2008,"Automatic",-60500
"646","Mitsubishi",2008,"Manual",-16250
"647","Mitsubishi",2009,"Automatic",-59000
"648","Mitsubishi",2009,"Manual",-21500
"649","Mitsubishi",2010,"Automatic",-38500
"650","Mitsubishi",2010,"Manual",-9750
"651","Mitsubishi",2011,"Automatic",-27750
"652","Mitsubishi",2011,"Manual",-750
"653","Mitsubishi",2012,"Automatic",-8750
"654","Mitsubishi",2012,"Manual",-2000
"655","Mitsubishi",2013,"Automatic",-500
"656","Mitsubishi",2013,"Manual",-1500
"657","Mitsubishi",2014,"Automatic",6750
"658","Mitsubishi",2014,"Manual",1500
"659","Mitsubishi",2015,"Automatic",750
"660","Mitsubishi",2015,"Manual",1500
"661","Nissan",2004,"Automatic",-101000
"662","Nissan",2004,"Manual",-40750
"663","Nissan",2005,"Automatic",-82750
"664","Nissan",2005,"Manual",-28250
"665","Nissan",2006,"Automatic",-83250
"666","Nissan",2006,"Manual",-26000
